"File Name","Download Date",User,"First Name","Last Name",Affiliation,Study,"PCRC Member"
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","12/24/2023 - 14:19",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Plumb Vilardaga_DISC Data Repository - Study Summary.docx","12/24/2023 - 14:19",Anonymous,,,,"Mindfulness-Based Multi-Symptom CBT for Advanced Cancer Patients",
"GOC - DISC Data Repository - Study Summary.docx","12/24/2023 - 14:18",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary Template.docx","12/24/2023 - 14:17",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","12/24/2023 - 14:15",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","12/24/2023 - 14:14",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"Study Summary - Long 14-06p.docx","12/24/2023 - 14:14",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary Template.docx","12/24/2023 - 12:18",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"12/24/2023 - 07:13",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary - REST.pdf","12/24/2023 - 05:37",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","12/24/2023 - 05:24",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"Brown - DISC Data Repository - Study Summary.docx","12/24/2023 - 04:25",Anonymous,,,,"Understanding The Perspectives Of Palliative Care And Advance Care Planning In Patients With Pulmonary Arterial Hypertension And The Physicians Caring For Them",
"DISC Data Repository - Study Summary Template.docx","12/24/2023 - 01:48",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"12/24/2023 - 01:36",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary - REST.pdf","12/24/2023 - 00:22",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","12/24/2023 - 00:06",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
StudySummary100819.docx,"12/23/2023 - 21:05",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","12/23/2023 - 19:22",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","12/23/2023 - 10:54",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Study Summary - PCDM.pdf","12/23/2023 - 09:32",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","12/23/2023 - 02:41",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
"DISC Data Repository - Study Summary Template.docx","12/22/2023 - 17:56",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"DISC Data Repository - Study Summary_Mack.docx","12/22/2023 - 15:26",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"GOC - DISC Data Repository - Study Summary.docx","12/22/2023 - 15:14",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary_Mack.docx","12/22/2023 - 03:57",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Study Summary.docx","12/21/2023 - 23:49",Anonymous,,,,"Refinement of a Prognostic Model for Patients with Metastatic Cancer",
"Plumb Vilardaga_DISC Data Repository - Study Summary.docx","12/21/2023 - 18:26",Anonymous,,,,"Mindfulness-Based Multi-Symptom CBT for Advanced Cancer Patients",
"Study Summary - Long 14-06p.docx","12/21/2023 - 18:11",Anonymous,,,,"Family Experiences in ICU Transfers",
"Brown - DISC Data Repository - Study Summary.docx","12/21/2023 - 17:17",Anonymous,,,,"Understanding The Perspectives Of Palliative Care And Advance Care Planning In Patients With Pulmonary Arterial Hypertension And The Physicians Caring For Them",
"DISC Data Repository - Study Summary Template.docx","12/21/2023 - 13:52",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"Study Summary - PCDM.pdf","12/21/2023 - 13:52",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"GOC - DISC Data Repository - Study Summary.docx","12/21/2023 - 08:23",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","12/20/2023 - 21:47",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"Brown - DISC Data Repository - Study Summary.docx","12/20/2023 - 18:33",Anonymous,,,,"Understanding The Perspectives Of Palliative Care And Advance Care Planning In Patients With Pulmonary Arterial Hypertension And The Physicians Caring For Them",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","12/20/2023 - 15:39",Anonymous,,,,"Statin Discontinuation",
"Study Summary 14-09 Ferrell-protected.pdf","12/20/2023 - 00:27",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"GOC - DISC Data Repository - Study Summary.docx","12/19/2023 - 22:27",Anonymous,,,,"Goals of Care",
"Plumb Vilardaga_DISC Data Repository - Study Summary.docx","12/19/2023 - 16:16",Anonymous,,,,"Mindfulness-Based Multi-Symptom CBT for Advanced Cancer Patients",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","12/19/2023 - 16:16",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","12/19/2023 - 16:16",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"GOC - DISC Data Repository - Study Summary.docx","12/19/2023 - 16:16",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary Template.docx","12/19/2023 - 16:16",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"Study Summary - Long 14-06p.docx","12/19/2023 - 16:16",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary_Mack.docx","12/19/2023 - 16:16",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","12/19/2023 - 16:16",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Study Summary - PCDM.pdf","12/19/2023 - 16:16",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"GOC - DISC Data Repository - Study Summary.docx","12/19/2023 - 10:50",Anonymous,,,,"Goals of Care",
"Study Summary - PCDM.pdf","12/19/2023 - 09:14",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"12/19/2023 - 06:41",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"DISC Data Repository - Study Summary_Mack.docx","12/19/2023 - 06:22",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"Study Summary - Long 14-06p.docx","12/19/2023 - 01:50",Anonymous,,,,"Family Experiences in ICU Transfers",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","12/19/2023 - 00:17",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Template.docx","12/18/2023 - 20:06",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","12/18/2023 - 19:13",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"Study Summary - Long 14-06p.docx","12/18/2023 - 19:13",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","12/18/2023 - 19:13",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Study Summary - Long 14-06p.docx","12/18/2023 - 16:46",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","12/18/2023 - 16:46",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"DISC Data Repository - Study Summary Template.docx","12/18/2023 - 06:25",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"Study Summary - PCDM.pdf","12/18/2023 - 06:25",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"GOC - DISC Data Repository - Study Summary.docx","12/18/2023 - 00:21",Anonymous,,,,"Goals of Care",
"Study Summary - PCDM.pdf","12/17/2023 - 22:17",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"DISC Data Repository - Study Summary Template.docx","12/17/2023 - 19:17",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
StudySummary100819.docx,"12/16/2023 - 18:33",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
"DISC Data Repository - Study Summary_Mack.docx","12/16/2023 - 17:52",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"Brown - DISC Data Repository - Study Summary.docx","12/16/2023 - 15:40",Anonymous,,,,"Understanding The Perspectives Of Palliative Care And Advance Care Planning In Patients With Pulmonary Arterial Hypertension And The Physicians Caring For Them",
"Study Summary 14-09 Ferrell-protected.pdf","12/16/2023 - 15:40",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","12/16/2023 - 15:39",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
StudySummary100819.docx,"12/16/2023 - 15:39",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","12/16/2023 - 15:39",Anonymous,,,,"Statin Discontinuation",
"DISC Data Repository - Study Summary.docx","12/16/2023 - 15:39",Anonymous,,,,"Refinement of a Prognostic Model for Patients with Metastatic Cancer",
"Study Summary - REST.pdf","12/16/2023 - 15:39",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"12/16/2023 - 15:39",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary - PCDM.pdf","12/16/2023 - 15:38",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"Plumb Vilardaga_DISC Data Repository - Study Summary.docx","12/16/2023 - 15:38",Anonymous,,,,"Mindfulness-Based Multi-Symptom CBT for Advanced Cancer Patients",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","12/16/2023 - 15:38",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"GOC - DISC Data Repository - Study Summary.docx","12/16/2023 - 15:38",Anonymous,,,,"Goals of Care",
"Study Summary - Long 14-06p.docx","12/16/2023 - 15:38",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","12/16/2023 - 15:38",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"DISC Data Repository - Study Summary Template.docx","12/16/2023 - 15:38",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","12/16/2023 - 15:38",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary_Mack.docx","12/16/2023 - 15:38",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"Brown - DISC Data Repository - Study Summary.docx","12/16/2023 - 15:31",Anonymous,,,,"Understanding The Perspectives Of Palliative Care And Advance Care Planning In Patients With Pulmonary Arterial Hypertension And The Physicians Caring For Them",
"Study Summary 14-09 Ferrell-protected.pdf","12/16/2023 - 15:31",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","12/16/2023 - 15:31",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
StudySummary100819.docx,"12/16/2023 - 15:31",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","12/16/2023 - 15:31",Anonymous,,,,"Statin Discontinuation",
"DISC Data Repository - Study Summary.docx","12/16/2023 - 15:31",Anonymous,,,,"Refinement of a Prognostic Model for Patients with Metastatic Cancer",
"Study Summary - REST.pdf","12/16/2023 - 15:31",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"12/16/2023 - 15:31",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary - PCDM.pdf","12/16/2023 - 15:30",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"Plumb Vilardaga_DISC Data Repository - Study Summary.docx","12/16/2023 - 15:30",Anonymous,,,,"Mindfulness-Based Multi-Symptom CBT for Advanced Cancer Patients",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","12/16/2023 - 15:30",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"GOC - DISC Data Repository - Study Summary.docx","12/16/2023 - 15:30",Anonymous,,,,"Goals of Care",
"Study Summary - Long 14-06p.docx","12/16/2023 - 15:29",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","12/16/2023 - 15:29",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"DISC Data Repository - Study Summary Template.docx","12/16/2023 - 15:29",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","12/16/2023 - 15:29",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary_Mack.docx","12/16/2023 - 15:29",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Study Summary_Mack.docx","12/16/2023 - 15:29",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"Study Summary - Long 14-06p.docx","12/16/2023 - 06:03",Anonymous,,,,"Family Experiences in ICU Transfers",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","12/16/2023 - 05:56",Anonymous,,,,"Statin Discontinuation",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","12/16/2023 - 05:55",Anonymous,,,,"Statin Discontinuation",
"GOC - DISC Data Repository - Study Summary.docx","12/16/2023 - 04:19",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","12/15/2023 - 21:23",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Plumb Vilardaga_DISC Data Repository - Study Summary.docx","12/15/2023 - 17:15",Anonymous,,,,"Mindfulness-Based Multi-Symptom CBT for Advanced Cancer Patients",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","12/15/2023 - 14:43",Anonymous,,,,"Statin Discontinuation",
"Study Summary - Long 14-06p.docx","12/15/2023 - 14:09",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","12/15/2023 - 13:39",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"DISC Data Repository - Study Summary_Mack.docx","12/15/2023 - 11:32",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"Study Summary - Long 14-06p.docx","12/15/2023 - 08:33",Anonymous,,,,"Family Experiences in ICU Transfers",
"Plumb Vilardaga_DISC Data Repository - Study Summary.docx","12/14/2023 - 22:28",Anonymous,,,,"Mindfulness-Based Multi-Symptom CBT for Advanced Cancer Patients",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","12/14/2023 - 20:21",Anonymous,,,,"Statin Discontinuation",
"Study Summary - Long 14-06p.docx","12/14/2023 - 19:14",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary Template.docx","12/14/2023 - 10:27",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
StudySummary100819.docx,"12/14/2023 - 06:31",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
"DISC Data Repository - Study Summary Template.docx","12/14/2023 - 05:51",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"GOC - DISC Data Repository - Study Summary.docx","12/14/2023 - 02:36",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary Template.docx","12/13/2023 - 23:21",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","12/13/2023 - 21:13",Anonymous,,,,"Statin Discontinuation",
"Plumb Vilardaga_DISC Data Repository - Study Summary.docx","12/13/2023 - 16:25",Anonymous,,,,"Mindfulness-Based Multi-Symptom CBT for Advanced Cancer Patients",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","12/13/2023 - 10:13",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","12/12/2023 - 22:29",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"12/12/2023 - 19:20",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"GOC - DISC Data Repository - Study Summary.docx","12/11/2023 - 16:58",Anonymous,,,,"Goals of Care",
"Brown - DISC Data Repository - Study Summary.docx","12/11/2023 - 11:26",Anonymous,,,,"Understanding The Perspectives Of Palliative Care And Advance Care Planning In Patients With Pulmonary Arterial Hypertension And The Physicians Caring For Them",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","12/11/2023 - 11:26",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
"Study Summary 14-09 Ferrell-protected.pdf","12/11/2023 - 11:26",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Study Summary - REST.pdf","12/11/2023 - 11:26",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","12/11/2023 - 11:26",Anonymous,,,,"Statin Discontinuation",
"DISC Data Repository - Study Summary.docx","12/11/2023 - 11:26",Anonymous,,,,"Refinement of a Prognostic Model for Patients with Metastatic Cancer",
StudySummary100819.docx,"12/11/2023 - 11:26",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"12/11/2023 - 11:26",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary - PCDM.pdf","12/11/2023 - 11:24",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","12/11/2023 - 11:24",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
